transaction_id,sender_upi,receiver_upi,amount,location,device_type,hour,is_fraud
TXN00508,user9954@upi,shop5016@upi,2266.99,Patna,Mobile,9,0
TXN00890,user9732@upi,shop2939@upi,2770.19,Bhopal,Desktop,15,0
TXN00071,user5844@upi,shop3085@upi,2885.68,Surat,Tablet,14,0
TXN01609,user5491@upi,shop3112@upi,4351.95,Lucknow,Mobile,21,0
TXN01533,user2910@upi,shop2353@upi,1839.55,Surat,Mobile,12,0
TXN00248,user6070@upi,shop8684@upi,13560.58,Chennai,Mobile,20,0
TXN01451,user8899@upi,shop2106@upi,5033.23,Lucknow,Tablet,11,0
TXN00213,user5458@upi,shop8259@upi,9932.46,Ahmedabad,Mobile,11,0
TXN00910,user9582@upi,shop7292@upi,10905.84,Jaipur,Mobile,8,0
TXN01742,user2367@upi,shop3073@upi,41407.24,Chennai,Mobile,0,1
TXN01245,user1738@upi,shop9411@upi,1623.41,Pune,Mobile,11,0
TXN01697,user7636@upi,shop2338@upi,4482.07,Nagpur,Mobile,11,0
TXN01183,user9605@upi,shop5125@upi,7451.8,Delhi,Mobile,7,0
TXN00362,user7184@upi,shop7154@upi,1212.95,Surat,Desktop,7,0
TXN01474,user6711@upi,shop9349@upi,10639.84,Surat,Mobile,15,0
TXN00679,user2220@upi,shop4063@upi,14437.5,Nagpur,Mobile,10,0
TXN01622,user4377@upi,shop8244@upi,3317.38,Kolkata,Mobile,14,0
TXN01090,user5940@upi,shop2990@upi,13807.31,Pune,Tablet,16,0
TXN01988,user8913@upi,shop9428@upi,64384.58,Mumbai,Tablet,3,1
TXN01848,user4796@upi,shop2581@upi,73220.88,Chennai,Tablet,3,1
TXN00988,user1864@upi,shop6628@upi,8030.15,Mumbai,Mobile,12,0
TXN01513,user3069@upi,shop9515@upi,9959.5,Lucknow,Mobile,11,0
TXN00112,user5820@upi,shop4630@upi,6071.97,Chennai,Mobile,13,0
TXN01488,user2789@upi,shop3721@upi,1206.35,Delhi,Mobile,9,0
TXN01454,user1981@upi,shop3253@upi,5624.11,Kolkata,Mobile,10,0
TXN00384,user8692@upi,shop6246@upi,13715.81,Hyderabad,Mobile,5,0
TXN01396,user9500@upi,shop6760@upi,3460.36,Mumbai,Mobile,14,0
TXN01055,user1977@upi,shop5597@upi,2056.16,Bhopal,Mobile,11,0
TXN00756,user3871@upi,shop9099@upi,6590.19,Chennai,Desktop,19,0
TXN00325,user9609@upi,shop7173@upi,4713.15,Bangalore,Mobile,12,0
TXN01624,user8848@upi,shop2535@upi,7444.46,Ahmedabad,Mobile,18,0
TXN00788,user5222@upi,shop6638@upi,307.33,Delhi,Mobile,14,0
TXN00369,user1924@upi,shop3295@upi,7563.4,Kolkata,Mobile,19,0
TXN01820,user6858@upi,shop8673@upi,48335.51,Chennai,Desktop,3,1
TXN00070,user3041@upi,shop5920@upi,7611.77,Surat,Mobile,11,0
TXN00858,user2562@upi,shop5921@upi,570.2,Indore,Mobile,6,0
TXN01484,user7845@upi,shop9600@upi,6258.47,Kolkata,Desktop,8,0
TXN01556,user6022@upi,shop9021@upi,1442.15,Hyderabad,Desktop,18,0
TXN01692,user8967@upi,shop4483@upi,10537.34,Ahmedabad,Mobile,11,0
TXN01475,user7313@upi,shop7947@upi,11037.61,Chennai,Mobile,19,0
TXN01799,user6467@upi,shop9484@upi,81962.1,Kolkata,Desktop,2,1
TXN00479,user8248@upi,shop4559@upi,1309.45,Delhi,Mobile,7,0
TXN00282,user2858@upi,shop1424@upi,11037.77,Ahmedabad,Mobile,19,0
TXN01648,user9724@upi,shop9785@upi,12322.85,Pune,Mobile,15,0
TXN01557,user5440@upi,shop2623@upi,13449.59,Bangalore,Mobile,16,0
TXN01730,user8433@upi,shop6867@upi,34924.41,Delhi,Mobile,4,1
TXN00211,user7163@upi,shop7878@upi,6810.15,Bangalore,Mobile,15,0
TXN00298,user4453@upi,shop7825@upi,9275.45,Mumbai,Mobile,14,0
TXN01885,user4777@upi,shop5996@upi,79352.69,Delhi,Mobile,5,1
TXN01834,user5264@upi,shop8194@upi,88745.11,Kolkata,Mobile,1,1
TXN00652,user5990@upi,shop9328@upi,8439.37,Surat,Mobile,20,0
TXN01234,user1909@upi,shop2158@upi,8211.87,Lucknow,Mobile,11,0
TXN01503,user9858@upi,shop4946@upi,3657.91,Bangalore,Desktop,14,0
TXN01932,user8430@upi,shop7215@upi,45634.95,Delhi,Desktop,4,1
TXN00917,user9967@upi,shop5556@upi,9300.29,Jaipur,Desktop,8,0
TXN00994,user3873@upi,shop5280@upi,11740.09,Chennai,Mobile,16,0
TXN00430,user4621@upi,shop8303@upi,5618.05,Ahmedabad,Desktop,13,0
TXN01371,user6057@upi,shop6618@upi,4373.05,Mumbai,Mobile,14,0
TXN00240,user6381@upi,shop3093@upi,10055.04,Bhopal,Tablet,23,0
TXN00880,user9709@upi,shop2442@upi,2804.4,Jaipur,Tablet,13,0
TXN00621,user7609@upi,shop1313@upi,3433.99,Nagpur,Tablet,8,0
TXN00257,user3273@upi,shop8685@upi,6734.54,Mumbai,Tablet,2,0
TXN00612,user3897@upi,shop6134@upi,9521.14,Mumbai,Mobile,8,0
TXN00545,user8157@upi,shop8982@upi,9741.21,Bangalore,Desktop,13,0
TXN00772,user5348@upi,shop4387@upi,3445.82,Bhopal,Mobile,14,0
TXN01420,user4382@upi,shop3128@upi,13058.03,Kolkata,Mobile,15,0
TXN01042,user3859@upi,shop1616@upi,8948.12,Nagpur,Mobile,20,0
TXN01790,user5718@upi,shop1050@upi,27539.41,Kolkata,Tablet,4,1
TXN00760,user7642@upi,shop4281@upi,7770.96,Nagpur,Desktop,19,0
TXN00383,user6892@upi,shop9401@upi,13243.35,Ahmedabad,Mobile,21,0
TXN01104,user7156@upi,shop2449@upi,109.22,Surat,Tablet,11,0
TXN00974,user9992@upi,shop1870@upi,22.64,Jaipur,Desktop,10,0
TXN00353,user8319@upi,shop9653@upi,10559.45,Delhi,Tablet,7,0
TXN01606,user1717@upi,shop3094@upi,2883.68,Jaipur,Desktop,18,0
TXN01826,user2753@upi,shop6463@upi,67547.17,Bangalore,Desktop,5,1
TXN01037,user7801@upi,shop3753@upi,10447.47,Jaipur,Mobile,9,0
TXN01108,user8742@upi,shop3034@upi,9810.66,Patna,Mobile,8,0
TXN00495,user9133@upi,shop6680@upi,7849.85,Indore,Desktop,9,0
TXN00394,user9673@upi,shop5501@upi,8040.71,Kolkata,Mobile,17,0
TXN01547,user3198@upi,shop4539@upi,8880.83,Kolkata,Mobile,14,0
TXN00465,user8511@upi,shop6869@upi,12753.09,Indore,Mobile,9,0
TXN00887,user6395@upi,shop8359@upi,8138.08,Chennai,Mobile,13,0
TXN01194,user7656@upi,shop1555@upi,4117.81,Delhi,Desktop,20,0
TXN00367,user7868@upi,shop1256@upi,3617.59,Delhi,Mobile,3,0
TXN01894,user7358@upi,shop5709@upi,88681.13,Kolkata,Desktop,4,1
TXN01874,user7993@upi,shop3257@upi,29246.66,Mumbai,Tablet,2,1
TXN00745,user1116@upi,shop9561@upi,1776.25,Mumbai,Mobile,8,0
TXN00530,user5583@upi,shop7275@upi,2067.17,Chennai,Mobile,16,0
TXN00803,user8480@upi,shop8126@upi,7856.66,Surat,Mobile,19,0
TXN01224,user3679@upi,shop8653@upi,6552.08,Patna,Tablet,4,0
TXN01979,user5659@upi,shop9736@upi,60527.48,Chennai,Mobile,3,1
TXN01906,user5244@upi,shop5217@upi,21289.45,Bangalore,Desktop,0,1
TXN01700,user9773@upi,shop3632@upi,14484.19,Pune,Mobile,15,0
TXN01545,user6769@upi,shop9818@upi,7663.75,Nagpur,Mobile,17,0
TXN01314,user4814@upi,shop7478@upi,5091.58,Mumbai,Tablet,18,0
TXN00307,user7442@upi,shop9281@upi,6863.89,Chennai,Mobile,10,0
TXN01667,user5623@upi,shop3666@upi,8128.1,Delhi,Mobile,1,0
TXN00863,user7436@upi,shop8300@upi,11295.07,Lucknow,Mobile,9,0
TXN01567,user9437@upi,shop9722@upi,10471.25,Pune,Mobile,8,0
TXN00531,user5082@upi,shop9907@upi,11924.75,Pune,Desktop,10,0
TXN00655,user1035@upi,shop6592@upi,5333.53,Surat,Tablet,9,0
TXN01260,user9121@upi,shop5764@upi,564.89,Pune,Mobile,13,0
TXN00234,user2695@upi,shop6626@upi,14735.96,Delhi,Mobile,8,0
TXN00121,user2869@upi,shop2070@upi,6016.6,Delhi,Mobile,14,0
TXN01698,user4507@upi,shop5250@upi,2769.33,Mumbai,Mobile,18,0
TXN00950,user4285@upi,shop4154@upi,4305.64,Jaipur,Mobile,11,0
TXN00618,user2069@upi,shop1749@upi,4480.05,Kolkata,Mobile,12,0
TXN01179,user3883@upi,shop1691@upi,14457.17,Ahmedabad,Desktop,5,0
TXN00308,user1828@upi,shop5609@upi,7428.46,Patna,Desktop,14,0
TXN00136,user2494@upi,shop8700@upi,5225.94,Hyderabad,Mobile,7,0
TXN00555,user1328@upi,shop6221@upi,3924.3,Delhi,Mobile,8,0
TXN01674,user1612@upi,shop5753@upi,2426.73,Surat,Mobile,18,0
TXN00584,user3604@upi,shop2075@upi,4673.74,Jaipur,Mobile,16,0
TXN01641,user5702@upi,shop6707@upi,13132.28,Kolkata,Tablet,14,0
TXN00671,user1414@upi,shop7240@upi,2188.45,Surat,Mobile,9,0
TXN00835,user9830@upi,shop7348@upi,2856.14,Surat,Mobile,13,0
TXN00110,user1166@upi,shop9464@upi,14221.46,Delhi,Mobile,11,0
TXN01165,user2234@upi,shop9779@upi,3219.06,Kolkata,Mobile,23,0
TXN01960,user4524@upi,shop7701@upi,24864.26,Bangalore,Mobile,2,1
TXN01465,user6891@upi,shop7524@upi,5671.99,Ahmedabad,Mobile,12,0
TXN01729,user9907@upi,shop2290@upi,65743.51,Mumbai,Desktop,1,1
TXN01243,user8165@upi,shop2297@upi,13609.04,Ahmedabad,Mobile,22,0
TXN00212,user2391@upi,shop1861@upi,2342.14,Indore,Mobile,14,0
TXN01768,user7218@upi,shop5422@upi,75893.19,Delhi,Desktop,0,1
TXN01121,user8544@upi,shop2251@upi,1757.32,Bangalore,Tablet,12,0
TXN00680,user8020@upi,shop5572@upi,8353.41,Bangalore,Mobile,17,0
TXN01951,user4509@upi,shop1052@upi,54745.5,Chennai,Desktop,1,1
TXN01839,user8488@upi,shop2968@upi,65136.73,Mumbai,Desktop,0,1
TXN00412,user8353@upi,shop9395@upi,6126.58,Mumbai,Mobile,13,0
TXN01325,user7152@upi,shop2981@upi,787.65,Chennai,Desktop,13,0
TXN00783,user2636@upi,shop5422@upi,12063.27,Jaipur,Mobile,10,0
TXN01346,user6947@upi,shop1602@upi,4218.54,Patna,Desktop,13,0
TXN00875,user3315@upi,shop1301@upi,5655.33,Patna,Mobile,5,0
TXN01653,user4973@upi,shop4452@upi,12419.05,Mumbai,Desktop,7,0
TXN01279,user8760@upi,shop6592@upi,4308.51,Bangalore,Mobile,10,0
TXN00786,user1781@upi,shop7527@upi,1493.63,Bangalore,Mobile,17,0
TXN01819,user8158@upi,shop2573@upi,31088.79,Chennai,Desktop,4,1
TXN01199,user6006@upi,shop6140@upi,8641.38,Delhi,Mobile,12,0
TXN00808,user1118@upi,shop9981@upi,5610.92,Pune,Desktop,11,0
TXN00713,user3879@upi,shop2343@upi,12628.48,Bhopal,Desktop,18,0
TXN01991,user9113@upi,shop3797@upi,70093.19,Kolkata,Desktop,5,1
TXN01660,user3843@upi,shop9245@upi,2413.63,Pune,Desktop,14,0
TXN01191,user2999@upi,shop9763@upi,13005.62,Bhopal,Mobile,0,0
TXN01226,user3025@upi,shop6727@upi,1412.73,Bhopal,Mobile,17,0
TXN00603,user8794@upi,shop6873@upi,7614.65,Bhopal,Mobile,14,0
TXN00271,user1783@upi,shop6438@upi,4105.52,Indore,Mobile,18,0
TXN01385,user2071@upi,shop2941@upi,2175.04,Patna,Mobile,8,0
TXN00232,user7299@upi,shop8581@upi,8709.14,Indore,Desktop,4,0
TXN00050,user5956@upi,shop9666@upi,127.27,Bhopal,Mobile,19,0
TXN00463,user9447@upi,shop5558@upi,10423.61,Patna,Mobile,20,0
TXN01106,user1691@upi,shop5947@upi,12520.43,Kolkata,Mobile,15,0
TXN00856,user4817@upi,shop5198@upi,12168.0,Delhi,Mobile,13,0
TXN00694,user8130@upi,shop2181@upi,11205.89,Bangalore,Mobile,15,0
TXN01552,user1424@upi,shop5055@upi,1172.09,Delhi,Mobile,14,0
TXN01873,user1296@upi,shop8899@upi,24171.23,Chennai,Desktop,3,1
TXN00527,user7471@upi,shop9128@upi,451.94,Surat,Mobile,10,0
TXN00174,user8894@upi,shop5835@upi,11200.92,Hyderabad,Desktop,11,0
TXN00721,user3395@upi,shop8921@upi,14088.24,Mumbai,Mobile,12,0
TXN00415,user5397@upi,shop9079@upi,2197.56,Bangalore,Mobile,11,0
TXN00238,user3463@upi,shop6461@upi,1231.71,Surat,Mobile,10,0
TXN01473,user3660@upi,shop4182@upi,11446.63,Kolkata,Desktop,16,0
TXN01336,user5578@upi,shop8077@upi,3170.64,Jaipur,Tablet,10,0
TXN01064,user1260@upi,shop8860@upi,10038.84,Bangalore,Desktop,17,0
TXN00024,user6038@upi,shop4923@upi,878.3,Patna,Mobile,6,0
TXN01767,user1705@upi,shop2815@upi,23840.27,Bangalore,Mobile,2,1
TXN00064,user2137@upi,shop5573@upi,5273.68,Jaipur,Mobile,21,0
TXN00290,user9612@upi,shop7730@upi,11539.78,Bhopal,Mobile,7,0
TXN00189,user4817@upi,shop6383@upi,11617.78,Indore,Tablet,0,0
TXN00702,user7113@upi,shop1182@upi,8307.33,Jaipur,Mobile,4,0
TXN01815,user5075@upi,shop7328@upi,53805.06,Mumbai,Tablet,2,1
TXN01138,user6111@upi,shop8273@upi,3395.84,Pune,Mobile,17,0
TXN00355,user9525@upi,shop8239@upi,1752.44,Chennai,Desktop,12,0
TXN00417,user4203@upi,shop8501@upi,1613.52,Kolkata,Mobile,11,0
TXN01246,user5151@upi,shop6823@upi,3830.35,Delhi,Desktop,1,0
TXN00931,user4478@upi,shop1185@upi,9612.87,Nagpur,Mobile,16,0
TXN00197,user2323@upi,shop6277@upi,9128.38,Delhi,Mobile,14,0
TXN00580,user6094@upi,shop5593@upi,12644.27,Bhopal,Mobile,7,0
TXN01135,user7219@upi,shop7948@upi,3221.97,Chennai,Mobile,16,0
TXN01814,user8078@upi,shop2322@upi,43264.16,Mumbai,Desktop,2,1
TXN01935,user6219@upi,shop3923@upi,96281.09,Mumbai,Tablet,5,1
TXN00434,user8412@upi,shop6225@upi,1016.94,Mumbai,Desktop,7,0
TXN00101,user4978@upi,shop2669@upi,10460.92,Kolkata,Desktop,13,0
TXN01655,user2736@upi,shop2208@upi,7157.63,Lucknow,Desktop,3,0
TXN00395,user8054@upi,shop3937@upi,1614.18,Delhi,Mobile,9,0
TXN01939,user2738@upi,shop4795@upi,73314.69,Delhi,Mobile,4,1
TXN00221,user5743@upi,shop2887@upi,6081.43,Hyderabad,Mobile,20,0
TXN01676,user3638@upi,shop9218@upi,7749.35,Nagpur,Mobile,12,0
TXN01498,user1272@upi,shop6901@upi,13102.78,Indore,Desktop,14,0
TXN01785,user9676@upi,shop9087@upi,61489.48,Mumbai,Desktop,5,1
TXN00345,user9442@upi,shop6372@upi,1310.2,Surat,Mobile,21,0
TXN01028,user7643@upi,shop2936@upi,3183.06,Surat,Mobile,11,0
TXN00889,user8046@upi,shop3378@upi,9846.91,Lucknow,Tablet,10,0
TXN01351,user9731@upi,shop5143@upi,10213.4,Patna,Mobile,19,0
TXN00553,user3725@upi,shop7783@upi,7401.3,Pune,Mobile,10,0
TXN00744,user2373@upi,shop5641@upi,8978.4,Jaipur,Mobile,8,0
TXN01542,user3043@upi,shop9292@upi,4485.68,Jaipur,Mobile,21,0
TXN00539,user9064@upi,shop9882@upi,4642.71,Ahmedabad,Mobile,5,0
TXN00907,user7775@upi,shop6299@upi,6768.78,Bangalore,Mobile,18,0
TXN01395,user7129@upi,shop5170@upi,8262.77,Bangalore,Desktop,9,0
TXN00116,user8933@upi,shop5530@upi,10871.53,Indore,Mobile,9,0
TXN00830,user1646@upi,shop8951@upi,10602.32,Jaipur,Mobile,15,0
TXN01938,user8191@upi,shop4664@upi,90827.93,Bangalore,Tablet,2,1
TXN00809,user5094@upi,shop3675@upi,10726.92,Surat,Mobile,10,0
TXN01311,user8411@upi,shop6534@upi,11722.43,Ahmedabad,Desktop,17,0
TXN01005,user9972@upi,shop1173@upi,10095.3,Bhopal,Mobile,11,0
TXN00306,user9163@upi,shop9433@upi,7007.56,Patna,Mobile,2,0
TXN01101,user8249@upi,shop5728@upi,2465.22,Nagpur,Tablet,11,0
TXN00480,user7291@upi,shop6759@upi,14449.1,Hyderabad,Desktop,9,0
TXN01424,user1640@upi,shop2492@upi,4325.8,Patna,Tablet,10,0
TXN01076,user2075@upi,shop4085@upi,13379.63,Ahmedabad,Mobile,11,0
TXN00571,user3067@upi,shop1699@upi,6356.39,Surat,Mobile,23,0
TXN00619,user9587@upi,shop6535@upi,6510.64,Surat,Tablet,10,0
TXN01898,user6926@upi,shop5403@upi,72738.4,Kolkata,Mobile,2,1
TXN01266,user7829@upi,shop6902@upi,11941.63,Indore,Tablet,8,0
TXN00079,user1822@upi,shop5082@upi,13762.88,Delhi,Mobile,16,0
TXN01912,user1418@upi,shop2740@upi,68723.05,Bangalore,Desktop,23,1
TXN00033,user7735@upi,shop8651@upi,12958.91,Mumbai,Mobile,22,0
TXN01538,user9004@upi,shop2047@upi,7788.33,Lucknow,Mobile,17,0
TXN01034,user4320@upi,shop7983@upi,5066.77,Bhopal,Tablet,14,0
TXN01563,user4748@upi,shop6000@upi,9538.17,Delhi,Tablet,11,0
TXN00352,user4578@upi,shop5054@upi,10208.33,Lucknow,Desktop,6,0
TXN00164,user9955@upi,shop3588@upi,1117.19,Hyderabad,Tablet,10,0
TXN00204,user1982@upi,shop6400@upi,10053.5,Pune,Mobile,14,0
TXN01054,user8499@upi,shop4181@upi,9484.0,Kolkata,Mobile,7,0
TXN01365,user7290@upi,shop8605@upi,11929.52,Patna,Mobile,7,0
TXN01967,user9497@upi,shop4448@upi,48967.82,Delhi,Tablet,23,1
TXN00496,user7092@upi,shop3079@upi,11249.15,Bhopal,Mobile,18,0
TXN01625,user4094@upi,shop9036@upi,14150.89,Bangalore,Mobile,2,0
TXN01966,user6460@upi,shop6778@upi,81347.36,Kolkata,Mobile,0,1
TXN01963,user6054@upi,shop8334@upi,52784.92,Kolkata,Tablet,4,1
TXN00611,user3346@upi,shop6183@upi,12937.29,Bangalore,Desktop,12,0
TXN00433,user8460@upi,shop4389@upi,7821.51,Hyderabad,Mobile,11,0
TXN01492,user5355@upi,shop8961@upi,7103.74,Hyderabad,Mobile,10,0
TXN00219,user6802@upi,shop2180@upi,5962.1,Nagpur,Mobile,2,0
TXN01931,user4005@upi,shop9345@upi,26703.16,Mumbai,Desktop,2,1
TXN01466,user8101@upi,shop3553@upi,12295.86,Indore,Mobile,16,0
TXN00631,user4842@upi,shop1044@upi,201.11,Delhi,Tablet,17,0
TXN01382,user3884@upi,shop5289@upi,13660.63,Mumbai,Desktop,7,0
TXN01302,user7468@upi,shop5320@upi,8768.71,Surat,Mobile,11,0
TXN00060,user3900@upi,shop7755@upi,381.55,Nagpur,Tablet,16,0
TXN00299,user5745@upi,shop5949@upi,7249.34,Indore,Desktop,11,0
TXN01711,user8517@upi,shop8018@upi,49849.72,Kolkata,Desktop,4,1
TXN00074,user3780@upi,shop2389@upi,4263.96,Surat,Mobile,10,0
TXN00163,user8529@upi,shop5183@upi,10005.94,Patna,Desktop,18,0
TXN01275,user2669@upi,shop1687@upi,7614.51,Bangalore,Mobile,18,0
TXN01594,user3395@upi,shop7984@upi,274.74,Chennai,Mobile,5,0
TXN01434,user8606@upi,shop8942@upi,6925.74,Delhi,Mobile,9,0
TXN01613,user1145@upi,shop9401@upi,6837.06,Nagpur,Desktop,9,0
TXN00592,user9409@upi,shop1328@upi,12970.8,Indore,Mobile,12,0
TXN00317,user5911@upi,shop8780@upi,12238.08,Hyderabad,Mobile,7,0
TXN00046,user5272@upi,shop4346@upi,10049.19,Hyderabad,Mobile,11,0
TXN01720,user7794@upi,shop4957@upi,20332.6,Chennai,Mobile,0,1
TXN01832,user1403@upi,shop9287@upi,55505.27,Mumbai,Tablet,2,1
TXN00428,user1725@upi,shop7547@upi,14502.5,Hyderabad,Tablet,11,0
TXN00582,user5414@upi,shop7828@upi,9078.64,Delhi,Mobile,8,0
TXN00077,user7291@upi,shop9099@upi,6000.8,Bangalore,Mobile,0,0
TXN01917,user5410@upi,shop4195@upi,86880.72,Bangalore,Tablet,2,1
TXN01415,user3808@upi,shop2709@upi,10126.53,Bangalore,Mobile,15,0
TXN00781,user7945@upi,shop4449@upi,6292.2,Indore,Mobile,17,0
TXN01920,user9284@upi,shop2252@upi,93170.84,Chennai,Desktop,3,1
TXN01174,user8133@upi,shop7721@upi,4786.61,Bhopal,Tablet,14,0
TXN01320,user9052@upi,shop1381@upi,5105.95,Bangalore,Mobile,17,0
TXN00938,user4412@upi,shop6434@upi,11995.03,Patna,Desktop,6,0
TXN00031,user9834@upi,shop3167@upi,10853.05,Patna,Mobile,12,0
TXN01092,user5842@upi,shop8764@upi,13440.7,Indore,Tablet,13,0
TXN01616,user3178@upi,shop5430@upi,13102.01,Mumbai,Mobile,9,0
TXN01230,user2998@upi,shop7458@upi,5609.64,Patna,Tablet,17,0
TXN00975,user5623@upi,shop1510@upi,3536.27,Nagpur,Mobile,14,0
TXN01085,user6785@upi,shop5659@upi,6844.34,Bangalore,Mobile,8,0
TXN00515,user6345@upi,shop6211@upi,6796.84,Chennai,Mobile,8,0
TXN01551,user3687@upi,shop7876@upi,12325.3,Hyderabad,Tablet,11,0
TXN01568,user1119@upi,shop7962@upi,10541.85,Nagpur,Mobile,23,0
TXN01811,user6010@upi,shop1083@upi,54425.83,Mumbai,Mobile,1,1
TXN01574,user5994@upi,shop9446@upi,12387.65,Mumbai,Tablet,18,0
TXN00045,user1651@upi,shop2343@upi,6294.18,Lucknow,Mobile,10,0
TXN01687,user1699@upi,shop1934@upi,11118.23,Chennai,Mobile,13,0
TXN00169,user6772@upi,shop4588@upi,9552.9,Lucknow,Mobile,16,0
TXN00304,user5754@upi,shop7293@upi,12963.82,Pune,Mobile,18,0
TXN00991,user5780@upi,shop1447@upi,4309.37,Delhi,Mobile,6,0
TXN00556,user7151@upi,shop3636@upi,10982.46,Jaipur,Tablet,21,0
TXN01925,user5315@upi,shop8698@upi,79428.32,Delhi,Tablet,23,1
TXN00608,user2166@upi,shop8736@upi,13342.5,Jaipur,Mobile,14,0
TXN01619,user3189@upi,shop7690@upi,13476.05,Kolkata,Mobile,5,0
TXN00758,user4795@upi,shop3776@upi,10113.63,Hyderabad,Mobile,0,0
TXN00439,user4371@upi,shop5560@upi,11287.36,Indore,Desktop,13,0
TXN00583,user7671@upi,shop8937@upi,11394.8,Bhopal,Mobile,5,0
TXN01519,user4687@upi,shop1861@upi,13848.14,Indore,Mobile,12,0
TXN00528,user4066@upi,shop5505@upi,4205.02,Patna,Mobile,13,0
TXN00343,user8518@upi,shop5215@upi,10781.79,Mumbai,Desktop,16,0
TXN01737,user5894@upi,shop1166@upi,92291.05,Kolkata,Desktop,23,1
TXN00368,user1797@upi,shop5009@upi,11110.71,Pune,Mobile,12,0
TXN00186,user4109@upi,shop3001@upi,14235.67,Bhopal,Mobile,14,0
TXN01117,user6761@upi,shop3354@upi,203.34,Jaipur,Mobile,16,0
TXN01755,user2225@upi,shop7909@upi,74570.55,Chennai,Mobile,2,1
TXN01426,user3942@upi,shop8079@upi,6872.84,Patna,Mobile,15,0
TXN00301,user4342@upi,shop6573@upi,9103.84,Hyderabad,Desktop,10,0
TXN01904,user1812@upi,shop4812@upi,29155.73,Mumbai,Mobile,4,1
TXN00833,user7014@upi,shop8439@upi,20.79,Surat,Mobile,15,0
